date,coin,open,high,low,close,mean,median,std,count
2023-11-01,CUP,260.000000,260.000000,250.000000,258.540000,257.442500,258.770000,3.397586,8
2023-11-02,CUP,258.705259,258.705259,258.384024,258.485778,258.631418,258.705259,0.109297,17
2023-11-03,CUP,258.602266,258.602266,258.602266,258.602266,258.602266,258.602266,0.000000,5
2023-11-04,CUP,258.602266,258.602266,258.602266,258.602266,258.602266,258.602266,0.000000,1
2023-11-08,CUP,258.652202,261.773408,258.602266,261.764523,259.981459,258.652202,1.673540,7
2023-11-09,CUP,261.764523,263.283928,261.560869,263.198551,262.311990,262.117019,0.474626,109
2023-11-10,CUP,263.198551,263.709218,263.198551,263.702774,263.469653,263.487273,0.117071,69
2023-11-11,CUP,265.808192,265.878462,265.808192,265.878462,265.831615,265.808192,0.040571,3
2023-11-12,CUP,266.652511,266.652511,266.652511,266.652511,266.652511,266.652511,0.000000,2
2023-11-13,CUP,266.768090,267.756294,266.768090,267.726286,267.139879,266.916896,0.353692,231
2023-11-14,CUP,267.726286,268.280035,267.713546,268.280035,268.022761,268.010882,0.132924,287
2023-11-15,CUP,268.280035,268.472624,267.798578,267.889834,268.294123,268.321175,0.143973,288
2023-11-16,CUP,267.889834,268.438457,267.889834,268.402387,268.121579,268.022894,0.150442,288
2023-11-17,CUP,268.402387,268.832263,268.401486,268.808691,268.604518,268.569706,0.113413,285
2023-11-18,CUP,268.808691,269.258500,268.798293,269.051977,269.001650,268.945969,0.117541,287
2023-11-19,CUP,269.051977,269.389356,268.855642,269.172185,268.979320,268.956546,0.141970,288
2023-11-20,CUP,269.172185,269.175707,268.946759,268.946759,269.072311,269.075580,0.037285,285
2023-11-21,CUP,268.946759,269.085778,268.766645,268.914630,268.856313,268.842254,0.069737,288
2023-11-22,CUP,268.914630,269.074757,268.654043,269.074757,268.920562,268.970185,0.130475,54
2023-11-24,CUP,269.285045,269.285045,269.285045,269.285045,269.285045,269.285045,0.000000,1
2023-11-27,CUP,268.802072,268.802072,268.802072,268.802072,268.802072,268.802072,0.000000,1
2023-12-06,CUP,269.662297,269.662297,269.662297,269.662297,269.662297,269.662297,0.000000,1
2023-12-12,CUP,273.808260,274.259920,273.784560,274.259920,273.986180,273.911376,0.179410,19
2023-12-13,CUP,274.287608,274.898792,274.279230,274.898792,274.477931,274.447559,0.144728,47
2023-12-14,CUP,274.898792,275.796462,274.882065,275.759840,275.175277,275.010418,0.282650,49
2023-12-15,CUP,275.760610,276.364302,275.655098,276.364302,275.845646,275.736621,0.223467,48
2023-12-16,CUP,276.420731,277.000071,276.402054,276.993126,276.629696,276.532840,0.188414,48
2023-12-17,CUP,276.982649,277.661623,276.982649,277.542869,277.338277,277.237146,0.197828,47
2023-12-18,CUP,277.638501,278.636189,277.598578,278.636189,277.994629,277.759679,0.337323,47
2023-12-19,CUP,278.648258,279.154714,278.648258,278.841178,278.871204,278.887870,0.107055,46
2023-12-20,CUP,278.876661,279.696153,278.876661,279.669030,279.477338,279.577825,0.255842,39
2023-12-22,CUP,282.925000,282.925000,276.250000,279.500000,280.573552,280.757225,1.659764,15
2023-12-23,CUP,282.000000,283.750000,272.549020,281.250000,280.173746,281.250000,2.796679,47
2023-12-24,CUP,277.750000,283.523810,273.557692,280.000000,279.479521,279.004635,1.782815,48
2023-12-25,CUP,285.250000,285.500000,213.197500,273.125000,281.045066,282.000000,10.202336,48
2023-12-26,CUP,278.437500,284.500000,155.500000,277.930536,277.686051,280.250000,18.328806,47
2023-12-27,CUP,277.917650,277.917650,276.216421,276.216421,277.265127,277.610189,0.564104,49
2023-12-28,CUP,276.118438,276.799737,274.943228,274.951270,276.244777,276.521897,0.520842,46
2023-12-29,CUP,274.886689,367.530364,274.660085,275.351837,282.766300,275.994664,24.674472,39
2023-12-30,CUP,275.248694,275.863941,275.248694,275.662692,275.709272,275.699569,0.126978,37
2023-12-31,CUP,275.627668,275.627668,274.981878,274.981878,275.392793,275.475251,0.199199,35
2024-01-01,CUP,274.981711,275.503404,274.933774,275.503404,275.124458,275.134981,0.168944,37
2024-01-02,CUP,275.466417,275.476842,275.391253,275.476842,275.441382,275.447169,0.021789,24
2024-01-04,CUP,276.323376,277.684853,276.323376,277.684853,276.708687,276.477980,0.445493,43
2024-01-05,CUP,277.678545,278.134138,277.657849,278.134138,277.865530,277.791918,0.133511,47
2024-01-06,CUP,278.135289,278.438349,278.135289,278.438349,278.304613,278.310568,0.064689,33
2024-01-07,CUP,278.993527,279.525859,278.993527,279.525859,279.268784,279.330204,0.170743,14
2024-01-08,CUP,279.527745,280.320687,279.527745,280.223014,279.982922,279.977292,0.167822,48
2024-01-09,CUP,280.257888,280.413288,279.983757,280.019255,280.244914,280.363206,0.161309,48
2024-01-10,CUP,279.999814,280.279908,279.977978,280.277969,280.072989,280.035735,0.095716,47
2024-01-11,CUP,280.288656,280.518898,280.259061,280.450010,280.333106,280.301871,0.078030,47
2024-01-12,CUP,280.474688,280.496969,280.263103,280.434932,280.357367,280.324891,0.066783,43
2024-01-14,CUP,281.035028,281.035028,280.965734,280.970739,280.992786,280.973681,0.028347,11
2024-01-15,CUP,280.963398,281.001780,280.757955,280.781955,280.925458,280.963398,0.078832,47
2024-01-16,CUP,280.789815,280.910830,280.473609,280.473609,280.791368,280.844049,0.127763,46
2024-01-17,CUP,280.524035,281.295372,280.324581,281.268300,280.615196,280.445454,0.333711,48
2024-01-18,CUP,281.242670,281.242670,280.867363,281.001239,281.092956,281.132219,0.102376,45
2024-01-19,CUP,280.996341,280.996341,280.628827,280.643512,280.790124,280.797292,0.094576,48
2024-01-20,CUP,280.634085,280.691715,280.356417,280.422328,280.603175,280.621237,0.097575,48
2024-01-21,CUP,280.384999,280.526223,280.173158,280.195732,280.383197,280.399161,0.095007,48
2024-01-22,CUP,280.212217,280.375215,280.182024,280.269901,280.253460,280.246015,0.045957,48
2024-01-23,CUP,280.275510,281.932162,280.269901,281.932162,280.676861,280.417576,0.490806,47
2024-01-24,CUP,281.944713,284.033152,281.944713,284.030494,282.898523,282.689782,0.512536,48
2024-01-25,CUP,284.058941,284.556434,284.051558,284.549235,284.359889,284.332076,0.118091,47
2024-01-26,CUP,284.491536,285.105393,284.459456,285.092460,284.688798,284.535766,0.235515,45
2024-01-27,CUP,285.101941,285.252185,285.069976,285.234996,285.174008,285.179064,0.049674,34
2024-01-28,CUP,285.261312,286.138722,285.028377,286.138722,285.436239,285.318126,0.244033,46
2024-01-29,CUP,286.168259,286.443745,285.874481,286.362883,286.113610,286.046396,0.151674,45
2024-01-30,CUP,286.387602,287.054538,286.387602,286.986454,286.711208,286.611041,0.199024,47
2024-01-31,CUP,287.007156,287.628428,287.007156,287.504125,287.323245,287.293860,0.163852,46
2024-02-01,CUP,287.454614,288.152658,287.371357,288.084080,287.684413,287.554695,0.236113,43
