date,coin,open,high,low,close,mean,median,std,count
2023-11-01,MLC,1.098000,1.102700,1.098000,1.102700,1.100350,1.100350,0.003323,2
2023-11-02,MLC,1.102428,1.102610,1.100707,1.102248,1.102176,1.102428,0.000476,17
2023-11-03,MLC,1.102381,1.102381,1.102381,1.102381,1.102381,1.102381,0.000000,5
2023-11-04,MLC,1.102381,1.102381,1.102381,1.102381,1.102381,1.102381,0.000000,1
2023-11-08,MLC,1.101875,1.104136,1.101875,1.104136,1.102892,1.102381,0.001125,7
2023-11-09,MLC,1.104318,1.106556,1.101875,1.106556,1.104683,1.104399,0.000682,109
2023-11-10,MLC,1.106621,1.107162,1.105941,1.106206,1.106272,1.106087,0.000354,69
2023-11-11,MLC,1.108489,1.109649,1.108489,1.109649,1.108875,1.108489,0.000669,3
2023-11-12,MLC,1.111489,1.111489,1.111437,1.111437,1.111463,1.111463,0.000037,2
2023-11-13,MLC,1.114259,1.114617,1.112418,1.112719,1.113848,1.114040,0.000548,231
2023-11-14,MLC,1.112719,1.114940,1.112634,1.114842,1.113989,1.113944,0.000567,287
2023-11-15,MLC,1.114842,1.115179,1.112312,1.112312,1.114393,1.114690,0.000715,288
2023-11-16,MLC,1.112312,1.114605,1.111393,1.114510,1.112864,1.112995,0.000617,288
2023-11-17,MLC,1.114433,1.114641,1.113101,1.113908,1.113919,1.113990,0.000289,285
2023-11-18,MLC,1.113522,1.118994,1.112979,1.118839,1.116326,1.116575,0.001554,287
2023-11-19,MLC,1.118839,1.119311,1.118644,1.119079,1.118845,1.118834,0.000180,288
2023-11-20,MLC,1.119079,1.121313,1.118867,1.121313,1.119328,1.119102,0.000570,285
2023-11-21,MLC,1.121350,1.121867,1.119259,1.119263,1.121148,1.121217,0.000580,288
2023-11-22,MLC,1.119263,1.120842,1.118794,1.120842,1.119170,1.119037,0.000304,54
2023-11-24,MLC,1.112501,1.112501,1.112501,1.112501,1.112501,1.112501,0.000000,1
2023-11-27,MLC,1.103194,1.103194,1.103194,1.103194,1.103194,1.103194,0.000000,1
2023-12-06,MLC,1.097091,1.097091,1.097091,1.097091,1.097091,1.097091,0.000000,1
2023-12-12,MLC,1.097033,1.097342,1.096748,1.097342,1.096924,1.096905,0.000128,19
2023-12-13,MLC,1.097381,1.098604,1.097325,1.097973,1.097740,1.097600,0.000292,47
2023-12-14,MLC,1.097965,1.101104,1.097965,1.100137,1.098797,1.098347,0.000931,49
2023-12-15,MLC,1.100134,1.101378,1.098344,1.101378,1.099693,1.099684,0.000766,48
2023-12-16,MLC,1.102030,1.103775,1.101717,1.103360,1.102531,1.102204,0.000639,48
2023-12-17,MLC,1.103482,1.107402,1.103482,1.107402,1.104516,1.103803,0.001237,47
2023-12-18,MLC,1.107803,1.112217,1.107803,1.112217,1.109372,1.108385,0.001623,47
2023-12-19,MLC,1.112440,1.113561,1.111894,1.112887,1.113088,1.113126,0.000459,46
2023-12-20,MLC,1.113070,1.114394,1.113009,1.114360,1.113741,1.114013,0.000479,38
2023-12-22,MLC,1.121188,1.122568,1.108922,1.120000,1.117381,1.117985,0.003714,15
2023-12-23,MLC,1.116357,1.224232,1.094151,1.103294,1.143514,1.116722,0.049513,47
2023-12-24,MLC,1.110185,1.126667,1.094351,1.126667,1.114467,1.114278,0.006449,48
2023-12-25,MLC,1.120833,1.134135,1.095893,1.112778,1.111267,1.112773,0.011709,48
2023-12-26,MLC,1.105000,1.226667,1.075050,1.121967,1.126838,1.125833,0.019651,44
2023-12-27,MLC,1.121967,1.123550,1.121967,1.122937,1.122721,1.122511,0.000338,49
2023-12-28,MLC,1.123158,1.123229,1.122565,1.123133,1.122914,1.122960,0.000208,46
2023-12-29,MLC,1.123520,1.126878,1.123366,1.125433,1.125879,1.126313,0.000830,39
2023-12-30,MLC,1.125331,1.125402,1.123847,1.123858,1.124387,1.124309,0.000397,37
2023-12-31,MLC,1.123814,1.124660,1.123814,1.124660,1.124290,1.124283,0.000152,35
2024-01-01,MLC,1.124555,1.124624,1.123765,1.124225,1.124336,1.124545,0.000267,37
2024-01-02,MLC,1.124016,1.126518,1.124016,1.126493,1.124956,1.124924,0.000557,24
2024-01-04,MLC,1.128592,1.128772,1.127476,1.127853,1.128403,1.128592,0.000416,43
2024-01-05,MLC,1.127803,1.133173,1.127306,1.132725,1.130394,1.130576,0.001980,47
2024-01-06,MLC,1.133459,1.133459,1.131544,1.131580,1.132671,1.132765,0.000396,32
2024-01-07,MLC,1.129936,1.130553,1.129922,1.130370,1.130146,1.130151,0.000196,14
2024-01-08,MLC,1.130388,1.131210,1.130082,1.130481,1.130619,1.130517,0.000341,16
2024-01-09,MLC,1.130457,1.130457,1.125788,1.125978,1.127795,1.127364,0.001610,48
2024-01-10,MLC,1.125936,1.125967,1.125127,1.125797,1.125497,1.125370,0.000318,47
2024-01-11,MLC,1.125793,1.127510,1.125738,1.126988,1.126129,1.125840,0.000551,47
2024-01-12,MLC,1.127147,1.127147,1.125567,1.126257,1.126448,1.126550,0.000358,42
2024-01-14,MLC,1.126152,1.126302,1.126007,1.126293,1.126174,1.126189,0.000094,11
2024-01-15,MLC,1.126186,1.126332,1.123730,1.123730,1.125716,1.126074,0.000876,47
2024-01-16,MLC,1.123818,1.123887,1.121773,1.121773,1.123344,1.123426,0.000513,46
2024-01-17,MLC,1.121751,1.122895,1.121463,1.121478,1.121895,1.121640,0.000476,48
2024-01-18,MLC,1.121498,1.121757,1.121025,1.121039,1.121513,1.121485,0.000152,45
2024-01-19,MLC,1.121092,1.121092,1.119924,1.120046,1.120428,1.120483,0.000229,48
2024-01-20,MLC,1.120046,1.120239,1.119379,1.120138,1.119887,1.120052,0.000288,48
2024-01-21,MLC,1.120104,1.121261,1.120104,1.121261,1.120511,1.120221,0.000404,48
2024-01-22,MLC,1.121258,1.123702,1.121046,1.123702,1.121726,1.121373,0.000727,48
2024-01-23,MLC,1.123894,1.134815,1.123894,1.134815,1.126403,1.124610,0.003337,47
2024-01-24,MLC,1.134939,1.137982,1.134939,1.136628,1.136266,1.136082,0.000797,42
2024-01-26,MLC,1.135724,1.139457,1.135724,1.139457,1.137348,1.136966,0.001010,45
2024-01-27,MLC,1.139395,1.141431,1.139395,1.141431,1.140212,1.139899,0.000568,48
2024-01-28,MLC,1.141718,1.146640,1.141718,1.146640,1.143204,1.142220,0.001749,46
2024-01-29,MLC,1.147030,1.147472,1.146825,1.147472,1.147029,1.146985,0.000207,12
2024-01-31,MLC,1.148697,1.150211,1.148697,1.149968,1.149586,1.149711,0.000515,13
2024-02-01,MLC,1.149881,1.150547,1.149697,1.150411,1.149996,1.149863,0.000246,43
2024-02-02,MLC,1.150505,1.150885,1.150363,1.150877,1.150617,1.150641,0.000117,46
2024-02-03,MLC,1.150877,1.153044,1.150877,1.152805,1.151778,1.151503,0.000588,48
